Timestamp,Your Academic Stage,Peer pressure,Academic pressure from your home,What coping strategy you use as a student?,"Do you have any bad habits like smoking, drinking on a daily basis?",What would you rate the academic  competition in your student life,Rate your academic stress index ,Stress Index,Academic pressure,Study Environment_Peaceful,Study Environment_disrupted,Study Environment,Rate your academic stress index 
25/07/2025 20:37:52,post-graduate,2,2,Analyze the situation and handle it with intellect,No,4,4,4,2,0,0,Noisy,4
25/07/2025 23:34:18,undergraduate,3,3,Analyze the situation and handle it with intellect,Yes,4,4,4,3,1,0,Peaceful,4
25/07/2025 23:39:15,undergraduate,2,2,Analyze the situation and handle it with intellect,No,4,3,3,2,1,0,Peaceful,3
26/07/2025 07:25:43,high school,4,5,Analyze the situation and handle it with intellect,No,4,5,5,5,1,0,Peaceful,5
26/07/2025 07:33:35,high school,3,3,Analyze the situation and handle it with intellect,No,4,4,4,3,1,0,Peaceful,4
26/07/2025 07:34:28,high school,4,5,Emotional breakdown (crying a lot),No,5,5,5,5,0,0,Noisy,5
26/07/2025 07:50:38,high school,3,3,Analyze the situation and handle it with intellect,No,3,4,4,3,1,0,Peaceful,4
26/07/2025 08:13:18,high school,2,3,Emotional breakdown (crying a lot),No,3,4,4,3,0,0,Noisy,4
26/07/2025 08:25:17,high school,1,2,Analyze the situation and handle it with intellect,No,5,3,3,2,1,0,Peaceful,3
26/07/2025 08:25:18,high school,4,4,Emotional breakdown (crying a lot),No,2,5,5,4,0,1,disrupted,5
26/07/2025 08:27:10,high school,4,3,Analyze the situation and handle it with intellect,No,4,4,4,3,1,0,Peaceful,4
26/07/2025 08:40:35,high school,4,5,Emotional breakdown (crying a lot),No,3,4,4,5,0,0,Noisy,4
26/07/2025 08:57:40,high school,1,5,Analyze the situation and handle it with intellect,No,5,5,5,5,0,0,Noisy,5
26/07/2025 09:28:08,high school,5,5,Emotional breakdown (crying a lot),No,3,5,5,5,1,0,Peaceful,5
26/07/2025 09:36:09,high school,1,3,"Social support (friends, family)",No,3,1,1,3,1,0,Peaceful,1
26/07/2025 09:47:04,high school,5,3,Emotional breakdown (crying a lot),No,4,5,5,3,0,0,Noisy,5
26/07/2025 09:56:32,high school,3,3,Analyze the situation and handle it with intellect,No,4,3,3,3,0,0,Noisy,3
26/07/2025 10:01:33,high school,4,4,Emotional breakdown (crying a lot),No,4,5,5,4,0,1,disrupted,5
26/07/2025 10:04:32,high school,2,3,"Social support (friends, family)",No,3,4,4,3,0,0,Noisy,4
26/07/2025 10:38:24,high school,3,3,Analyze the situation and handle it with intellect,No,3,4,4,3,1,0,Peaceful,4
26/07/2025 10:39:37,high school,2,4,Emotional breakdown (crying a lot),No,3,3,3,4,1,0,Peaceful,3
26/07/2025 11:36:30,high school,2,4,Analyze the situation and handle it with intellect,No,4,3,3,4,0,0,Noisy,3
26/07/2025 13:39:21,undergraduate,1,1,Analyze the situation and handle it with intellect,No,3,3,3,1,0,0,Noisy,3
26/07/2025 14:21:53,high school,1,3,Analyze the situation and handle it with intellect,No,5,3,3,3,0,0,Noisy,3
26/07/2025 14:23:45,high school,3,4,Emotional breakdown (crying a lot),No,3,3,3,4,0,0,Noisy,3
26/07/2025 18:45:13,high school,1,1,Emotional breakdown (crying a lot),No,1,1,1,1,1,0,Peaceful,1
26/07/2025 21:37:46,high school,3,4,"Social support (friends, family)",No,2,2,2,4,1,0,Peaceful,2
26/07/2025 22:11:02,high school,3,1,Analyze the situation and handle it with intellect,No,4,4,4,1,0,0,Noisy,4
27/07/2025 13:45:00,undergraduate,2,3,Analyze the situation and handle it with intellect,No,3,5,5,3,0,0,Noisy,5
27/07/2025 22:56:54,high school,2,2,Analyze the situation and handle it with intellect,No,4,4,4,2,1,0,Peaceful,4
30/07/2025 06:43:55,high school,4,5,Analyze the situation and handle it with intellect,No,3,5,5,5,1,0,Peaceful,5
30/07/2025 16:02:16,undergraduate,4,4,Analyze the situation and handle it with intellect,No,4,4,4,4,0,1,disrupted,4
11/8/2025 12:15,post-graduate,3,4,"Social support (friends, family)",No,1,4,4,4,1,0,Peaceful,4
11/8/2025 18:07,undergraduate,5,1,Analyze the situation and handle it with intellect,Yes,5,5,5,1,0,0,Noisy,5
11/8/2025 19:29,post-graduate,3,3,Analyze the situation and handle it with intellect,No,3,3,3,3,1,0,Peaceful,3
12/8/2025 2:28,post-graduate,3,4,"Social support (friends, family)",No,2,4,4,4,1,0,Peaceful,4
12/8/2025 8:11,post-graduate,3,1,"Social support (friends, family)",No,4,5,5,1,0,1,disrupted,5
12/8/2025 8:49,high school,4,5,Emotional breakdown (crying a lot),No,3,5,5,5,0,0,Noisy,5
12/8/2025 8:56,undergraduate,3,5,Analyze the situation and handle it with intellect,Yes,4,5,5,5,1,0,Peaceful,5
12/8/2025 10:03,undergraduate,3,4,"Social support (friends, family)",No,2,4,4,4,0,1,disrupted,4
12/8/2025 13:16,undergraduate,2,2,Analyze the situation and handle it with intellect,No,4,4,4,2,0,0,,4
12/8/2025 15:01,high school,4,4,Analyze the situation and handle it with intellect,No,3,4,4,4,1,0,Noisy,4
13/08/2025 21:45:58,undergraduate,1,1,Analyze the situation and handle it with intellect,No,2,2,2,1,1,0,Peaceful,4
14/08/2025 06:10:01,post-graduate,4,3,Emotional breakdown (crying a lot),Yes,2,4,4,3,0,1,Peaceful,2
14/08/2025 21:06:15,undergraduate,5,3,Analyze the situation and handle it with intellect,No,2,4,4,3,0,1,disrupted,4
17/08/2025 13:02:04,undergraduate,3,2,Analyze the situation and handle it with intellect,No,3,4,4,2,1,0,disrupted,4
18/08/2025 14:36:00,undergraduate,4,2,Analyze the situation and handle it with intellect,No,3,3,3,2,0,1,Peaceful,4
18/08/2025 17:13:52,undergraduate,3,3,Analyze the situation and handle it with intellect,No,2,4,4,3,1,0,disrupted,3
18/08/2025 19:08:52,undergraduate,4,5,"Social support (friends, family)",No,5,5,5,5,0,1,Peaceful,4
18/08/2025 22:40:13,undergraduate,4,2,"Social support (friends, family)",No,4,4,4,2,1,0,disrupted,5
,,,,,,,,,,,,Peaceful,4
